,sectionName_x,sentiment_absolute,count
0,401(k)'s and Similar Plans,-1,0.22580645161290322
1,401(k)'s and Similar Plans,0,0.12903225806451613
2,401(k)'s and Similar Plans,1,0.6451612903225806
3,Africa,-1,0.4347275031685678
4,Africa,0,0.14892268694550062
5,Africa,1,0.41634980988593157
6,Americas,-1,0.40791287565481116
7,Americas,0,0.17300799558864075
8,Americas,1,0.4190791287565481
9,Art,-1,0.18604651162790697
10,Art,0,0.09302325581395349
11,Art,1,0.7209302325581395
12,Art & Design,-1,0.25749063670411987
13,Art & Design,0,0.1750936329588015
14,Art & Design,1,0.5674157303370787
15,Asia Pacific,-1,0.41273446658851115
16,Asia Pacific,0,0.1623681125439625
17,Asia Pacific,1,0.42489742086752635
18,Australia,-1,0.34904013961605584
19,Australia,0,0.17801047120418848
20,Australia,1,0.47294938917975565
21,Auto Racing,-1,0.1694915254237288
22,Auto Racing,0,0.0847457627118644
23,Auto Racing,1,0.7457627118644068
24,Automobiles,-1,0.14705882352941177
25,Automobiles,0,0.20588235294117646
26,Automobiles,1,0.6470588235294118
27,Baseball,-1,0.27390791027154665
28,Baseball,0,0.173258559622196
29,Baseball,1,0.5528335301062574
30,Book Review,-1,0.3126876876876877
31,Book Review,0,0.1617867867867868
32,Book Review,1,0.5255255255255256
33,Canada,-1,0.4355484387510008
34,Canada,0,0.1297037630104083
35,Canada,1,0.4347477982385909
36,College Basketball,-1,0.28974535443909155
37,College Basketball,0,0.17962835512732278
38,College Basketball,1,0.5306262904335857
39,College Football,-1,0.39888682745825604
40,College Football,0,0.18181818181818182
41,College Football,1,0.41929499072356213
42,Cricket,0,1.0
43,Cycling,-1,0.391304347826087
44,Cycling,0,0.13043478260869565
45,Cycling,1,0.4782608695652174
46,Dance,-1,0.14184397163120568
47,Dance,0,0.14893617021276595
48,Dance,1,0.7092198581560284
49,DealBook,-1,0.36766929927743236
50,DealBook,0,0.14972273567467653
51,DealBook,1,0.4826079650478911
52,Eat,-1,0.32048596564725595
53,Eat,0,0.19794721407624633
54,Eat,1,0.4815668202764977
55,Economy,-1,0.35709219858156027
56,Economy,0,0.1504432624113475
57,Economy,1,0.4924645390070922
58,Editorials,-1,0.42794440380395027
59,Editorials,0,0.1389904901243599
60,Editorials,1,0.43306510607168985
61,Education Life,-1,0.28520499108734404
62,Education Life,0,0.12611408199643495
63,Education Life,1,0.588680926916221
64,Energy & Environment ,-1,0.3436988543371522
65,Energy & Environment ,0,0.1287506819421713
66,Energy & Environment ,1,0.5275504637206765
67,Entertainment,1,1.0
68,Entrepreneurship,-1,0.32142857142857145
69,Entrepreneurship,0,0.14285714285714285
70,Entrepreneurship,1,0.5357142857142857
71,Europe,-1,0.4131033757492901
72,Europe,0,0.1801451256704175
73,Europe,1,0.40675149858029236
74,Family,-1,0.29887410440122825
75,Family,0,0.14263351195135168
76,Family,1,0.55849238364742
77,Fashion & Beauty,0,0.3333333333333333
78,Fashion & Beauty,1,0.6666666666666666
79,Food,1,1.0
80,Golf,-1,0.20293398533007334
81,Golf,0,0.16381418092909536
82,Golf,1,0.6332518337408313
83,Hockey,-1,0.26301369863013696
84,Hockey,0,0.14520547945205478
85,Hockey,1,0.5917808219178082
86,Insider Events,-1,0.25
87,Insider Events,0,0.21428571428571427
88,Insider Events,1,0.5357142857142857
89,Learning,-1,0.30327868852459017
90,Learning,0,0.13114754098360656
91,Learning,1,0.5655737704918032
92,Lesson Plans,-1,0.2383177570093458
93,Lesson Plans,0,0.14485981308411214
94,Lesson Plans,1,0.616822429906542
95,Live,-1,0.40465076071922546
96,Live,0,0.12491355463347165
97,Live,1,0.4704356846473029
98,Media,-1,0.37079314040728834
99,Media,0,0.2077706323687031
100,Media,1,0.4214362272240086
101,Middle East,-1,0.4875182620847361
102,Middle East,0,0.1689957441402528
103,Middle East,1,0.3434859937750111
104,Mind,-1,0.40299951620706337
105,Mind,0,0.1282051282051282
106,Mind,1,0.46879535558780844
107,Move,-1,0.24086841719231333
108,Move,0,0.19172656593809595
109,Move,1,0.5674050168695908
110,Music,-1,0.25353606789250355
111,Music,0,0.18316831683168316
112,Music,1,0.5632956152758133
113,Neighborhoods,-1,0.07142857142857142
114,Neighborhoods,0,0.03571428571428571
115,Neighborhoods,1,0.8928571428571429
116,Olympics,-1,0.29637275140076674
117,Olympics,0,0.1825420230020643
118,Olympics,1,0.521085225597169
119,Opinion | Politics,-1,0.6008676789587852
120,Opinion | Politics,0,0.07809110629067245
121,Opinion | Politics,1,0.3210412147505423
122,Opinion | The World,1,1.0
123,Paying for College,-1,0.24074074074074073
124,Paying for College,0,0.18518518518518517
125,Paying for College,1,0.5740740740740741
126,Personal Tech,-1,0.2143906020558003
127,Personal Tech,0,0.22173274596182085
128,Personal Tech,1,0.5638766519823789
129,Politics,-1,0.39253486716732344
130,Politics,0,0.185130863417526
131,Politics,1,0.42233426941515056
132,Pro Basketball,-1,0.24364232977850697
133,Pro Basketball,0,0.13945857260049221
134,Pro Basketball,1,0.6168990976210008
135,Pro Football,-1,0.3004405286343612
136,Pro Football,0,0.14038179148311306
137,Pro Football,1,0.5591776798825256
138,Real Estate,-1,0.3333333333333333
139,Real Estate,0,0.16666666666666666
140,Real Estate,1,0.5
141,Retirement,-1,0.21731123388581952
142,Retirement,0,0.1252302025782689
143,Retirement,1,0.6574585635359116
144,Room For Debate,-1,0.5535872453498671
145,Room For Debate,0,0.10894596988485385
146,Room For Debate,1,0.337466784765279
147,Rugby,-1,0.34285714285714286
148,Rugby,0,0.25
149,Rugby,1,0.40714285714285714
