,newDesk_x,sentiment_absolute,count
0,Arts&Leisure,-1,0.2122706952366271
1,Arts&Leisure,0,0.19454293201788192
2,Arts&Leisure,1,0.593186372745491
3,Automobiles,-1,0.2857142857142857
4,Automobiles,0,0.14285714285714285
5,Automobiles,1,0.5714285714285714
6,BookReview,-1,0.21575846833578793
7,BookReview,0,0.19882179675994108
8,BookReview,1,0.585419734904271
9,Business,-1,0.25617217162079753
10,Business,0,0.23594908819074223
11,Business,1,0.5078787401884602
12,Climate,-1,0.2863328041564439
13,Climate,0,0.2710347813537307
14,Climate,1,0.4426324144898254
15,Culture,-1,0.21144871927823292
16,Culture,0,0.21514742991461855
17,Culture,1,0.5734038508071485
18,Dining,-1,0.1641540099759009
19,Dining,0,0.21184778344448804
20,Dining,1,0.623998206579611
21,EdLife,-1,0.17959001782531195
22,EdLife,0,0.1537433155080214
23,EdLife,1,0.6666666666666666
24,Editorial,-1,0.29872868688954957
25,Editorial,0,0.21020420364925022
26,Editorial,1,0.49106710946120025
27,Express,-1,0.26923915413124044
28,Express,0,0.25833878351863965
29,Express,1,0.4724220623501199
30,Foreign,-1,0.29434268038988054
31,Foreign,0,0.2626551458156404
32,Foreign,1,0.44300217379447904
33,Games,-1,0.153137776366451
34,Games,0,0.3072281983090541
35,Games,1,0.5396340253244949
36,Insider,-1,0.22563936549045
37,Insider,0,0.21398510844933635
38,Insider,1,0.5603755260602137
39,Investigative,-1,0.2676425791166018
40,Investigative,0,0.2786427483499746
41,Investigative,1,0.45371467253342357
42,Learning,-1,0.21994640630389217
43,Learning,0,0.23835929001618422
44,Learning,1,0.5416943036799236
45,Letters,-1,0.28537360890302066
46,Letters,0,0.17090620031796502
47,Letters,1,0.5437201907790143
48,Magazine,-1,0.23170000921913894
49,Magazine,0,0.18956854429796258
50,Magazine,1,0.5787314464828985
51,Metro,-1,0.24129278329820336
52,Metro,0,0.22399544983104153
53,Metro,1,0.5347117668707552
54,Metropolitan,-1,0.20446766348405693
55,Metropolitan,0,0.17924698252567106
56,Metropolitan,1,0.6162853539902721
57,NYTNow,-1,0.3023255813953488
58,NYTNow,0,0.20930232558139536
59,NYTNow,1,0.4883720930232558
60,National,-1,0.28767660502804904
61,National,0,0.261416995636817
62,National,1,0.450906399335134
63,NewsDesk,-1,0.21573513705945177
64,NewsDesk,0,0.18618725525097898
65,NewsDesk,1,0.5980776076895692
66,Obits,-1,0.14612214312476582
67,Obits,0,0.21431247658298988
68,Obits,1,0.6395653802922443
69,OpEd,-1,0.2790714417550138
70,OpEd,0,0.18938865377642397
71,OpEd,1,0.5315399044685623
72,Photo,-1,0.1328125
73,Photo,0,0.19140625
74,Photo,1,0.67578125
75,Podcasts,-1,0.24793388429752067
76,Podcasts,0,0.23140495867768596
77,Podcasts,1,0.5206611570247934
78,Politics,-1,0.26994095041709626
79,Politics,0,0.2582247633330209
80,Politics,1,0.47183428624988283
81,RealEstate,-1,0.19385552875460202
82,RealEstate,0,0.19195125047606956
83,RealEstate,1,0.6141932207693285
84,Science,-1,0.2353748326639893
85,Science,0,0.1930053547523427
86,Science,1,0.571619812583668
87,Smarter Living,-1,0.2303370786516854
88,Smarter Living,0,0.17837078651685392
89,Smarter Living,1,0.5912921348314607
90,Society,-1,0.10526315789473684
91,Society,0,0.18796992481203006
92,Society,1,0.706766917293233
93,SpecialSections,-1,0.16281823564239195
94,SpecialSections,0,0.1669626998223801
95,SpecialSections,1,0.670219064535228
96,Sports,-1,0.26227025256866837
97,Sports,0,0.2098325760366777
98,Sports,1,0.5278971713946539
99,Styles,-1,0.1641473280817543
100,Styles,0,0.1890568447945497
101,Styles,1,0.646795827123696
102,Summary,-1,0.15384615384615385
103,Summary,0,0.20512820512820512
104,Summary,1,0.6410256410256411
105,SundayBusiness,-1,0.21762078765732845
106,SundayBusiness,0,0.18121532007037489
107,SundayBusiness,1,0.6011638922722966
108,TStyle,-1,0.09090909090909091
109,TStyle,0,0.1414141414141414
110,TStyle,1,0.7676767676767676
111,Travel,-1,0.15446559297218154
112,Travel,0,0.17920937042459736
113,Travel,1,0.6663250366032211
114,Unknown,-1,0.27950788158400613
115,Unknown,0,0.18665897731641676
116,Unknown,1,0.5338331410995771
117,Upshot,-1,0.251244942421413
118,Upshot,0,0.18834941383960993
119,Upshot,1,0.560405643738977
120,Video,-1,0.2300469483568075
121,Video,0,0.18544600938967137
122,Video,1,0.5845070422535211
123,Washington,-1,0.2928870074213442
124,Washington,0,0.2812114560468276
125,Washington,1,0.42590153653182816
126,Weekend,-1,0.17819100920743816
127,Weekend,0,0.1767467051814407
128,Weekend,1,0.6450622856111211
129,Well,-1,0.21619635038829058
130,Well,0,0.18660317663225848
131,Well,1,0.597200472979451
