,sectionName_x,Summary_TARGET_multiclass,count
0,401(k)'s and Similar Plans,0,0.4946236559139785
1,401(k)'s and Similar Plans,1,0.3118279569892473
2,401(k)'s and Similar Plans,2,0.1827956989247312
3,401(k)'s and Similar Plans,3,0.010752688172043012
4,Africa,0,0.4112801013941698
5,Africa,1,0.38910012674271227
6,Africa,2,0.18314321926489227
7,Africa,3,0.016476552598225603
8,Americas,0,0.37524124620898813
9,Americas,1,0.427488282326992
10,Americas,2,0.18031430934656742
11,Americas,3,0.01695616211745244
12,Art,0,0.20930232558139536
13,Art,1,0.7209302325581395
14,Art,2,0.06976744186046512
15,Art & Design,0,0.37790262172284644
16,Art & Design,1,0.450749063670412
17,Art & Design,2,0.1601123595505618
18,Art & Design,3,0.011235955056179775
19,Asia Pacific,0,0.499450468933177
20,Asia Pacific,1,0.3539712778429074
21,Asia Pacific,2,0.13547772567409144
22,Asia Pacific,3,0.01110052754982415
23,Australia,0,0.43804537521815007
24,Australia,1,0.4048865619546248
25,Australia,2,0.13089005235602094
26,Australia,3,0.02617801047120419
27,Auto Racing,0,0.6779661016949152
28,Auto Racing,1,0.2711864406779661
29,Auto Racing,2,0.05084745762711865
30,Automobiles,0,0.7058823529411765
31,Automobiles,1,0.11764705882352941
32,Automobiles,2,0.17647058823529413
33,Baseball,0,0.615112160566706
34,Baseball,1,0.2910271546635183
35,Baseball,2,0.0870720188902007
36,Baseball,3,0.00678866587957497
37,Book Review,0,0.4572072072072072
38,Book Review,1,0.40540540540540543
39,Book Review,2,0.12725225225225226
40,Book Review,3,0.010135135135135136
41,Canada,0,0.3458767013610889
42,Canada,1,0.47197758206565255
43,Canada,2,0.16493194555644516
44,Canada,3,0.01721377101681345
45,College Basketball,0,0.47625602202339984
46,College Basketball,1,0.3620096352374398
47,College Basketball,2,0.15554026152787337
48,College Basketball,3,0.006194081211286993
49,College Football,0,0.3432282003710575
50,College Football,1,0.4619666048237477
51,College Football,2,0.19294990723562153
52,College Football,3,0.0018552875695732839
53,Cricket,0,1.0
54,Cycling,0,0.41847826086956524
55,Cycling,1,0.375
56,Cycling,2,0.20108695652173914
57,Cycling,3,0.005434782608695652
58,Dance,0,0.18439716312056736
59,Dance,1,0.6382978723404256
60,Dance,2,0.1773049645390071
61,DealBook,0,0.45219290875483115
62,DealBook,1,0.39438749789951266
63,DealBook,2,0.13863216266173753
64,DealBook,3,0.014787430683918669
65,Eat,0,0.4696271470465019
66,Eat,1,0.33410138248847926
67,Eat,2,0.19627147046501886
68,Economy,0,0.3902482269503546
69,Economy,1,0.4281028368794326
70,Economy,2,0.16684397163120568
71,Economy,3,0.014804964539007093
72,Editorials,0,0.4359912216532553
73,Editorials,1,0.4125822970007315
74,Editorials,2,0.1389904901243599
75,Editorials,3,0.012435991221653255
76,Education Life,0,0.3471479500891266
77,Education Life,1,0.4206773618538324
78,Education Life,2,0.21479500891265596
79,Education Life,3,0.017379679144385027
80,Energy & Environment ,0,0.42334969994544464
81,Energy & Environment ,1,0.4337152209492635
82,Energy & Environment ,2,0.1260229132569558
83,Energy & Environment ,3,0.01691216584833606
84,Entertainment,0,1.0
85,Entrepreneurship,0,0.25
86,Entrepreneurship,1,0.6071428571428571
87,Entrepreneurship,2,0.14285714285714285
88,Europe,0,0.4536333999369019
89,Europe,1,0.38052371437585447
90,Europe,2,0.15133031864549373
91,Europe,3,0.014512567041749922
92,Family,0,0.33903305436811365
93,Family,1,0.4609549039677283
94,Family,2,0.19916912517309893
95,Family,3,0.0008429164910590644
96,Fashion & Beauty,0,1.0
97,Food,0,0.7142857142857143
98,Food,2,0.2857142857142857
99,Golf,0,0.5403422982885085
100,Golf,1,0.37163814180929094
101,Golf,2,0.08801955990220049
102,Hockey,0,0.5397260273972603
103,Hockey,1,0.35342465753424657
104,Hockey,2,0.10684931506849316
105,Insider Events,0,0.75
106,Insider Events,1,0.17857142857142858
107,Insider Events,2,0.07142857142857142
108,Learning,0,0.2459016393442623
109,Learning,1,0.5245901639344263
110,Learning,2,0.22950819672131148
111,Lesson Plans,0,0.8785046728971962
112,Lesson Plans,1,0.102803738317757
113,Lesson Plans,2,0.018691588785046728
114,Live,0,0.38217496542185336
115,Live,1,0.4181362378976487
116,Live,2,0.19951590594744123
117,Live,3,0.00017289073305670817
118,Media,0,0.3737942122186495
119,Media,1,0.4704180064308682
120,Media,2,0.14212218649517686
121,Media,3,0.013665594855305467
122,Middle East,0,0.5013974464841516
123,Middle East,1,0.3458044845328082
124,Middle East,2,0.14022105062567491
125,Middle East,3,0.012577018357365178
126,Mind,0,0.37639090469279146
127,Mind,1,0.4291243347847121
128,Mind,2,0.19206579583938074
129,Mind,3,0.0024189646831156266
130,Move,0,0.4531318761918733
131,Move,1,0.3617427020683585
132,Move,2,0.18512542173976823
133,Music,0,0.32001414427157
134,Music,1,0.48656294200848654
135,Music,2,0.1806930693069307
136,Music,3,0.01272984441301273
137,Neighborhoods,0,0.10714285714285714
138,Neighborhoods,1,0.8214285714285714
139,Neighborhoods,2,0.07142857142857142
140,Olympics,0,0.4004718372161604
141,Olympics,1,0.43526983190799173
142,Olympics,2,0.157770569153642
143,Olympics,3,0.006487761722205839
144,Opinion | Politics,0,0.5813449023861171
145,Opinion | Politics,1,0.2885032537960954
146,Opinion | Politics,2,0.11822125813449023
147,Opinion | Politics,3,0.01193058568329718
148,Opinion | The World,1,1.0
149,Paying for College,0,0.5277777777777778
150,Paying for College,1,0.2777777777777778
151,Paying for College,2,0.17592592592592593
152,Paying for College,3,0.018518518518518517
153,Personal Tech,0,0.48751835535976507
154,Personal Tech,1,0.3641703377386197
155,Personal Tech,2,0.14096916299559473
156,Personal Tech,3,0.007342143906020558
157,Politics,0,0.43059490084985835
158,Politics,1,0.4222829866275003
159,Politics,2,0.1341209001975413
160,Politics,3,0.013001212325100053
161,Pro Basketball,0,0.5594749794913864
162,Pro Basketball,1,0.35192780968006565
163,Pro Basketball,2,0.08777686628383921
164,Pro Basketball,3,0.0008203445447087777
165,Pro Football,0,0.45051395007342143
166,Pro Football,1,0.39295154185022024
167,Pro Football,2,0.15007342143906022
168,Pro Football,3,0.0064610866372980915
169,Real Estate,0,0.8333333333333334
170,Real Estate,2,0.16666666666666666
171,Retirement,0,0.32136279926335176
172,Retirement,1,0.44659300184162065
173,Retirement,2,0.19613259668508287
174,Retirement,3,0.03591160220994475
175,Room For Debate,0,0.38972542072630645
176,Room For Debate,1,0.43135518157661645
177,Room For Debate,2,0.17891939769707707
178,Rugby,0,0.6357142857142857
179,Rugby,1,0.21428571428571427
180,Rugby,2,0.15
181,Soccer,0,0.6219151036525172
182,Soccer,1,0.2912142152023692
183,Soccer,2,0.08489634748272458
184,Soccer,3,0.0019743336623889436
185,Student Loans,0,0.42297650130548303
186,Student Loans,1,0.3472584856396867
187,Student Loans,2,0.19321148825065274
188,Student Loans,3,0.03655352480417755
189,Sunday Review,0,0.4096741344195519
190,Sunday Review,1,0.4459266802443992
191,Sunday Review,2,0.1302376103190767
192,Sunday Review,3,0.014161575016972166
193,Television,0,0.433834440931673
194,Television,1,0.4032518226982386
195,Television,2,0.15781663333118265
196,Television,3,0.005097103038905736
197,Tennis,0,0.4731182795698925
198,Tennis,1,0.4254992319508449
199,Tennis,2,0.10138248847926268
200,The Daily,0,0.7283950617283951
201,The Daily,1,0.2037037037037037
202,The Daily,2,0.06790123456790123
203,Unknown,0,0.4739165288491518
